imdbID,Title,YearSinceRelease,Runtime,AvgDirectorRating,AvgWriterRating,AvgCastRating,imdbRating,Budget,Revenue,budget_norm_E8,revenue_norm_E8,mpaaRating_G,mpaaRating_NC-17,mpaaRating_PG,mpaaRating_PG-13,mpaaRating_R,mpaaRating_UNRATED,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Biography,Genre_Crime,Genre_Drama,Genre_Documentary,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_Western,Genre_Sport,Genre_Music,Genre_Musical,Genre_War,Language_English,Language_Spanish,Language_European,Language_Asian,Language_Arabic,Language_Other,Countrys_English,Countrys_Spanish,Countrys_European,Countrys_Asian,Countrys_Arabic,Countrys_Other
tt0120389,Turbo: A Power Rangers Movie,19,99,4.7,4.4,3.9,3.3,10000000,17979739,0.1,0.17979739,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
tt0221218,The Glass House,15,106,5.8,6,6.2,5.8,30000000,17951431,0.3,0.17951431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
tt0115986,The Crow: City of Angels,20,84,4.5,6,5.4,4.5,13000000,17917287,0.13,0.17917287,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1244668,Soul Kitchen,7,99,7,7,6.8,7.3,5000000,17872796,0.05,0.17872796,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
tt0970411,City of Ember,8,90,6,6.7,6.6,6.5,55000000,17869048,0.55,0.17869048,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0164114,Drive Me Crazy,17,91,5.2,6,5.8,5.7,8000000,17843379,0.08,0.17843379,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0218817,Antitrust,15,109,6.2,6.4,6.1,6.1,30000000,17833000,0.3,0.17833,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0462519,School for Scoundrels,10,100,6.6,6.2,6,5.9,20000000,17807569,0.2,0.17807569,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0880502,The Edge of Heaven,9,122,7,7,7.4,7.9,3800000,17804565,0.038,0.17804565,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
tt0454824,Flyboys,10,140,6.4,6.4,6.3,6.6,60000000,17800000,0.6,0.178,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0144814,The Rage: Carrie 2,17,104,5.5,4.7,5.4,4.6,21000000,17762705,0.21,0.17762705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt2717822,Blackhat,1,133,6.9,5.4,6.4,5.4,70000000,17752940,0.7,0.1775294,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt2080374,Steve Jobs,1,122,7.4,7.2,6.7,7.4,30000000,17750583,0.3,0.17750583,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0800240,Deception,8,107,6.1,6.3,6.7,6.1,25000000,17741298,0.25,0.17741298,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0424205,Joyeux Noel,11,116,7.1,7.1,7.1,7.8,22000000,17709155,0.22,0.17709155,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
tt1723811,Shame,5,101,7.7,7,7.1,7.3,6500000,17693675,0.065,0.17693675,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1821549,Nebraska,3,115,6.7,7.8,6.1,7.8,12000000,17654912,0.12,0.17654912,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0119925,The Postman,19,177,7.1,6.5,6.5,5.9,80000000,17626234,0.8,0.17626234,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
tt1027862,Swing Vote,8,120,6.2,5.5,6.4,6.1,21000000,17600000,0.21,0.176,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1436045,13 Assassins,6,141,6.6,7.4,6.9,7.6,6000000,17555141,0.06,0.17555141,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
tt1668200,Sarah's Key,6,111,5.5,6.3,6.4,7.5,10000000,17511906,0.1,0.17511906,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
tt1742334,Sabotage,2,109,7,6.6,5.8,5.7,35000000,17508518,0.35,0.17508518,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0134619,Disturbing Behavior,18,84,5.3,6.4,5.7,5.5,15000000,17507368,0.15,0.17507368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0419843,In the Land of Women,9,97,6.8,6.8,6,6.5,10000000,17500000,0.1,0.175,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0417433,Annapolis,10,108,6.6,5.9,5.6,5.8,26000000,17496992,0.26,0.17496992,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0120693,Half Baked,18,82,6.3,7.4,6.3,6.7,8000000,17460020,0.08,0.1746002,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
tt1232207,Capitalism: A Love Story,7,127,7.1,7.1,6.8,7.4,20000000,17436509,0.2,0.17436509,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0295289,A Guy Thing,13,101,5.3,5.7,6,5.6,20000000,17432163,0.2,0.17432163,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
tt1067774,Monte Carlo,5,109,6.5,5.6,5.5,5.8,20000000,17425000,0.2,0.17425,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0117331,The Phantom,20,100,6.1,5.4,5.4,4.9,45000000,17300889,0.45,0.17300889,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
tt0365485,The Matador,11,96,5.8,5.8,6.7,6.8,10000000,17297244,0.1,0.17297244,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
tt0273799,Max Keeble's Big Move,15,86,5.4,5.2,5.1,5.3,12000000,17292381,0.12,0.17292381,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
tt0455538,How to Lose Friends & Alienate People,8,110,7.3,6.6,6.4,6.5,27000000,17286299,0.27,0.17286299,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
tt1160368,12 Rounds,7,108,5.7,5.6,6.1,5.6,20000000,17280326,0.2,0.17280326,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1637706,Our Idiot Brother,5,90,5.7,6.4,6.4,6.4,10000000,17273593,0.1,0.17273593,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
tt0106489,A Bronx Tale,23,121,7.3,6.9,5.9,7.8,22000000,17266971,0.22,0.17266971,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1083456,Fired Up!,7,90,6.3,6,5.9,6.2,20000000,17231291,0.2,0.17231291,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0102070,Hudson Hawk,25,100,5.7,5.7,5.9,5.7,65000000,17218080,0.65,0.1721808,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0210616,Center Stage,16,115,6.8,6.4,6.4,6.6,18000000,17200925,0.18,0.17200925,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
tt0116320,Fled,20,98,6.2,5,5.6,5.3,25000000,17193231,0.25,0.17193231,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
tt1091722,Adventureland,7,107,6.8,6.9,6.7,6.8,9500000,17164377,0.095,0.17164377,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt2668134,Harlock: Space Pirate,3,115,6.6,6.2,6.5,6.5,30000000,17137302,0.3,0.17137302,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
tt1216496,Mother,7,128,7.4,7.3,7.1,7.8,5000000,17112713,0.05,0.17112713,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
tt0105128,Pet Sematary II,24,100,4.9,5.7,5.5,4.7,8000000,17092453,0.08,0.17092453,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0272338,Punch-Drunk Love,14,95,7.5,7.5,6.4,7.3,25000000,17000000,0.25,0.17,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0202470,Rock Star,15,105,6,6.2,6.3,6.2,57000000,16991902,0.57,0.16991902,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0335559,Win a Date with Tad Hamilton!,12,95,5.9,6,5.9,5.6,17000000,16980098,0.17,0.16980098,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0804461,Death Sentence,9,105,6.9,6.1,6.3,6.8,20000000,16974459,0.2,0.16974459,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
tt0315983,House of Sand and Fog,13,126,7,7.6,6.2,7.6,16500000,16942795,0.165,0.16942795,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0411061,88 Minutes,9,108,6.6,6.1,6.1,5.9,30000000,16930884,0.3,0.16930884,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
